id	tweet	label
0	Ann , Bruce and I went to Selkirk Council of Churches service today - 50 % of collection going to #Katie's	trust
1	At the movies .. seeing sex and the city .. by myself .	sadness
2	Do not your memory ; it is a net full of holes ; the most beautifQuit feeling sorry for yourself , and actually show	trust
3	I seriously hate it when older men act like they've never seen a female before . Looking at me like im a piece of meat . #fckyou	fear
4	The fact that my vote will be based on who I don't want in the White House more .. rather than who I'd want to run the country	sadness
5	Aww she can't help that's she's a extrabitch ..	sadness
6	Everything is possible #smile #SmileMoreForAGoodDay	joy
7	The hills are alive with the sound of music .. why am I watching this mum ?	sadness
8	<USER> <USER> real dat you put Calvin J . as da front cover of #maddennf13 GO #DETROITLIONS ! !	joy
9	No promises bcos what \ ' s meant to be will always find its way	trust
10	#baracketology wasn't bad this year . chose someone who wasn't a 1 or a 2 seed . #NCAAMBB #NCAATournament14	surprise
11	Wer , wenn nicht die Turner sagen sich : ' Aufstehen , Krone richten , weitergehen ' ? #keepon #etf2013	sadness
12	is today no one message brooke back day or wat	sadness
13	en frente mio tengo el papelito de que pasaron a dejar mi entrada pero no hab nadie , el martes me la traen de nuevo asldkjas	joy
14	<USER> come on not this fri tho .. my test sat as shit	fear
15	I absolutely hate burger king .	disgust
16	Just like that , <USER> is again , SPOT ON . #goodstuff	joy
17	I just need to say that the Titanic Exhibit was epic . I'm kind of surprised I didn't burst into a fit of hysterical crying . #Quigg	sadness
18	I'm going to college . #dream #hopes #life #school #pursuit #of	joy
19	i've become one of those people who collects insects in their spare time to take them into the lab to examine further .	sadness
20	lmfao at what my sister just said	sadness
21	I got 99 tampons cause a bitch ate one . #tamponvideo	disgust
22	Can I sell my feelings on eBay ? I don't want them any longer . #feelings #ebay #goaway #lonely #unwanted	sadness
23	Sick tonight & amp ; couldn't go but imma definately be there for the playoff game at home next week to cheer on our wildcats .	trust
24	RIP Paul walker . There are no words to describe how much of an inspiration you were to me and millions of people ! #rip :(	sadness
25	I'm all alone in a room where I'm intimidated + Shaky	fear
26	Don't anyone #OneFreeAdvice	trust
27	Je les ai jamais vu bouger .. # d ut lavie	sadness
28	soo my parents got me a coach purse for my graduation present :) #lovethem #Graduation	joy
29	A very big #Thanksgiving to all from <USER>	joy
30	NBA is back tonight ! #stoked #heat #raptors #nba	joy
31	- My Homeroom Teacher Dont Give A F . xck Wat We Do ! Lol	sadness
32	I predict death is like being zipped up in a sleeping bag by a loved one on a summer day . Not	sadness
33	yo pens que mi gato me amaba pero el puto tambi tiene novia	sadness
34	Enak banget yah yang hari ini kantornya LIBUr bisa tdr ampe siang , lah kite ttp manteng dpn computer input aplikasi monday	joy
35	It worries me how these fucking idiots off towie earn more than a soldier #cbb	disgust
36	P2 Ongeval Wegvervoer Materieel th Vergiliusstraat 3 Zaandam - Vergiliusstraat 3 , 1502 NN Zaandam , Netherlands	fear
37	#facejacker this is my sister #Augustine , some people think she's ! !	disgust
38	Canny wait for #JamesBond to come out in the pics ! #Buzzin	sadness
39	<USER> me too I fell off pretty much everything	sadness
40	That great moment of the morning when Starbucks calls your drink .	joy
41	face chicken wing # Bob Backlund #make Darrenyounggreatagain	anger
42	<USER> You must be a Criminal to ! #TREASON	sadness
43	No more three and four romantic word after convesration :(	sadness
44	Jess is watching youtube vids like ' biggest zit on planet earth '	disgust
45	Wala parin pansinan pero Realtalk sumaya ko don . #Reunited	surprise
46	#Veterans Day ~ Love of Country , Sacrifice & amp ; Selflessness . Just THREE things which come to mind when I think of veterans . Salute !	joy
47	I'm trying to be a nice person but everyone is just so stupid . >.<	anger
48	"Hustla : "" its all about the paper ill worry about the rest later "" Me : "" if there is a later "" smh taking life for granted"	sadness
49	Getting angry at people when we listen to them breathing or eating is called Misophonia , which is an actual brain disorder .	surprise
50	This Has Turned Into One Random Night #WhyNot #ItsGnaBaGoodNight	joy
51	Money jar is almost empty .. #moneyjar #timetosellmorecrap	sadness
52	What is wrong with the world ? nearly 2 weeks ago 20 children were killed . And now to find out someone raped a 3 yearold . #world #change	sadness
53	Up early this morning as it's Kenilworth half marathon day #feeltheburn	fear
54	i think never get a tweet from <USER> #fact :(	sadness
55	All people now a days just want attention	sadness
56	Do not be quickly provoked in your spirit , for anger resides in the lap of fools .	anger
57	J \ ' ai re mon <USER> ! :D !	joy
58	Long distance relationships never work :(	sadness
59	What is this feeling ? I don't know but I love it . Every night since we met just gets better . #youmakemesmile #forever	joy
60	It's just getting to that point now .. #FeelingTired	sadness
61	Lanhee Chen - Typical Dem , would rather waste his vote then vote for HIS party ! #Trump #SupportVets #BillMaher	sadness
62	Hombres metrosexuales , POR QU DIOS ? POOR QUE ? :(	sadness
63	Descobri que nenhum vine d no meu pc <USER>	sadness
64	Birthday Tower of Doom ! :) )	joy
65	Choosing to is a peaceful #protest . <USER> #changetheworld	trust
66	at how many people are pissed off about a trend started by <USER> Well done . The elephants shall not forget this .	disgust
67	. <USER> kloof street . Hey Guys , thanks for the speedy delivery , but you brought me the wrong side dish with my order :'(	sadness
68	oh god oh god I have so much to do before SDCC . Have you seen my list ? Oh , no , you haven't , because I HAVEN'T MADE A LIST YET .	fear
69	Shorts , croakies , football , summer 90s music , and the smell of BBQ on frat row #college #greeklife	joy
70	alice in wonderland was wonderfull ! i don't feel disappointed ..	joy
71	""" You wanna kno how i'm the shit cuz i keep clogging up the toilet """	disgust
72	Lol @ the fact that some girls are so mean . Like I seriously believe they can't help it , they HAVE to judge and talk shit about people .	sadness
73	I Just Wanna Be .. ! !	joy
74	Week 49 heerlijk weekendje weg met mijn lief ! Naar Egmond aan zee ! ! ! !	joy
75	<USER> <USER> yair no me dej	sadness
76	""" Ternyata intuisiku tepat sekali . Cintamu bukan untuk ku miliki . Simpan saja janji dan alasanmu . """	trust
77	Sad to hear the current SL songs . Same crying words . Different melodies . Yester year too there were sad songs but good compositions .	sadness
78	feels as though im slowly dyeing	sadness
79	<USER> I did & #Love #AllisonMack but cuz of Dr's & you fuk'n #LAditchPigGodHaters my faith in her has be shaken , not lost !	trust
